id,label
20800,1
20801,0
20802,1
20803,1
20804,0
20805,0
20806,1
20807,1
20808,1
20809,1
20810,0
20811,0
20812,0
20813,0
20814,0
20815,1
20816,1
20817,1
20818,0
20819,1
20820,0
20821,0
20822,1
20823,0
20824,1
20825,1
20826,0
20827,1
20828,1
20829,0
20830,1
20831,1
20832,1
20833,1
20834,0
20835,1
20836,1
20837,0
20838,0
20839,1
20840,1
20841,1
20842,0
20843,1
20844,1
20845,0
20846,1
20847,1
20848,0
20849,0
20850,1
20851,0
20852,1
20853,1
20854,0
20855,1
20856,0
20857,1
20858,1
20859,1
20860,0
20861,1
20862,1
20863,1
20864,0
20865,0
20866,1
20867,0
20868,1
20869,1
20870,1
20871,1
20872,0
20873,1
20874,1
20875,1
20876,1
20877,1
20878,1
20879,1
20880,1
20881,0
20882,1
20883,0
20884,1
20885,0
20886,1
20887,1
20888,1
20889,1
20890,0
20891,1
20892,1
20893,1
20894,0
20895,1
20896,1
20897,1
20898,0
20899,1
20900,1
20901,0
20902,1
20903,1
20904,1
20905,1
20906,1
20907,1
20908,0
20909,0
20910,1
20911,1
20912,1
20913,1
20914,1
20915,1
20916,1
20917,0
20918,1
20919,0
20920,1
20921,1
20922,1
20923,1
20924,1
20925,0
20926,0
20927,1
20928,0
20929,1
20930,0
20931,1
20932,0
20933,1
20934,1
20935,1
20936,1
20937,1
20938,1
20939,0
20940,0
20941,1
20942,0
20943,0
20944,0
20945,1
20946,0
20947,0
20948,1
20949,1
20950,0
20951,1
20952,1
20953,1
20954,1
20955,0
20956,1
20957,0
20958,1
20959,1
20960,0
20961,1
20962,0
20963,0
20964,1
20965,0
20966,1
20967,1
20968,1
20969,1
20970,1
20971,1
20972,1
20973,1
20974,1
20975,1
20976,1
20977,1
20978,1
20979,1
20980,1
20981,1
20982,1
20983,0
20984,1
20985,1
20986,1
20987,1
20988,1
20989,1
20990,0
20991,1
20992,1
20993,1
20994,0
20995,0
20996,0
20997,1
20998,0
20999,1
21000,1
21001,0
21002,1
21003,0
21004,0
21005,0
21006,1
21007,0
21008,1
21009,1
21010,1
21011,1
21012,0
21013,1
21014,0
21015,0
21016,0
21017,1
21018,1
21019,1
21020,1
21021,0
21022,1
21023,1
21024,1
21025,0
21026,1
21027,0
21028,1
21029,1
21030,1
21031,1
21032,0
21033,1
21034,0
21035,0
21036,1
21037,0
21038,0
21039,1
21040,0
21041,0
21042,1
21043,1
21044,1
21045,1
21046,1
21047,0
21048,1
21049,0
21050,1
21051,0
21052,0
21053,1
21054,0
21055,1
21056,1
21057,0
21058,0
21059,0
21060,1
21061,0
21062,0
21063,1
21064,0
21065,0
21066,0
21067,0
21068,1
21069,0
21070,1
21071,1
21072,1
21073,0
21074,1
21075,1
21076,1
21077,1
21078,1
21079,0
21080,0
21081,0
21082,1
21083,0
21084,0
21085,1
21086,1
21087,1
21088,1
21089,1
21090,1
21091,1
21092,1
21093,0
21094,0
21095,1
21096,0
21097,1
